¹;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
1;10;9;10;9;8;5;5;9;5;9;9
2;5;6;9;5;7;5;7;1;6;6;6
3;7;6;8;7;9;8;7;7;8;8;7
4;10;8;10;10;5;10;8;1;6;10;9
5;10;1;1;10;10;1;1;10;1;1;10
6;5;7;9;8;1;3;7;10;7;1;5
7;6;8;9;8;9;8;10;8;8;3;5
8;7;9;9;8;7;6;8;5;9;7;10
9;8;9;5;8;10;9;9;2;10;10;10
10;1;2;8;5;3;10;3;1;2;1;5
11;1;1;7;7;8;10;5;1;3;8;5
12;9;9;8;9;10;7;7;8;8;10;9
13;10;8;8;7;8;9;9;1;5;7;9
14;7;2;9;10;8;10;7;1;3;6;9
15;1;5;8;10;5;5;5;1;5;5;5
16;8;8;10;7;5;10;10;5;10;10;8
17;7;5;8;7;8;10;10;5;10;10;9
18;9;8;10;7;6;6;5;5;6;10;10
19;10;10;10;10;10;10;10;10;1;10;10
20;10;10;10;10;10;1;10;10;1;1;10
V1;2;3;10;4;10;7;6;1;5;9;8
V2;6;8;8;7;10;8;5;5;4;6;8
V3;10;7;8;9;5;1;2;3;6;4;10
V4;7;1;4;3;5;3;10;2;8;6;9
V5;4;3;6;8;2;5;10;1;8;7;9
V6;7;6;8;9;9;8;7;8;8;9;5
V7;5;4;10;9;8;8;8;9;7;8;8
V8;5;6;8;8;9;10;7;3;1;2;4
V9;9;9;10;10;8;8;10;10;10;10;9
V10;9;2;4;5;9;3;10;1;8;7;6
V11;9;1;8;6;7;2;10;3;5;4;9
V12;5;2;10;7;6;9;4;1;3;7;8
