Речовина;квасоля звичайна;квасоля лімська;квасоля багатоквіткова;квасоля маш червона;квасоля маш зелена
Аспарагінова кислота;2.69;2.5;2.33;2.33;2.42
Треонін;1.22;1.11;1.02;1.44;1.04
Серин;1.13;1.04;1.09;0.88;0.99
Глутамінова кислота;4.37;5.01;4.45;5.38;4.12
Пролін;1.36;1.11;2.04;1.64;1.56
Гліцин;2.84;2.33;1.75;2.41;2.77
Аланін;2.32;2.06;2.34;2.26;2.38
Валін;2.76;2.43;2.72;2.35;2.01
Метіонін;2.08;2.17;1.8;2.19;2.69
Ізолейцин;1.35;1.38;0.81;1.94;1.84
Лейцин;2.45;1.99;1.84;2.44;2.32
Тирозин;2.81;2.74;2.65;3.22;2.95
Фенілаланін;3.14;3.54;3.67;3.56;3.73
Гістидин;0.4;0.29;0.25;0.29;0.33
Лізин;1.33;1.33;1.25;1.42;1.12
Аргінін;0.29;0.28;0.32;0.34;0.24
