COMPANY;PPG;ORIGIN
DARNITSA PHARMA ;-8.6;UA
FARMAK JSC.KIEV. ;-5.2;UA
ZDOROVJE GROUP ;-11.00;UA
ARTERIUM ;-1.2;UA
KIEV VITAMIN F ;8.2;UA
BORSCHAGOVSKY HF ;-19.00;UA
TERNOPHARM UKR ;17.7;UA
ZHITOMIR FF UKR ;-0.6;UA
VIOLA UKR ;21.6;UA
KRASNAYA ZVEZDA ;13.8;UA
FITOFARM ARTEMOV ;-10.6;UA
INTERCHEM UKR ;0.9;UA
YURIA UKR ;18.5;UA
LUBNIFARM JSC.UKR. ;9.4;UA
STOMA. UKR ;0.8;UA
LEKTRAVI ZHITOMIR ;-16.1;UA
STIROL CORP UKR ;11.4;UA
LEKHIM GROUP ;6.5;UA
MONFARM MON ;2.7;UA
BIOPHARMA ZAO ;1.3;UA
MENARINI GROUP ;-1.8;FOREIGN
NOVARTIS ;-2.5;FOREIGN
SANOFI-AVENTIS GR ;-1.3;FOREIGN
ACTAVIS ;-5.00;FOREIGN
GENOM BIOTECH IND ;0.4;FOREIGN
GLAXOSMITHKLINE ;8.6;FOREIGN
KRKA ;-1.9;FOREIGN
TEVA ;-7.6;FOREIGN
GEDEON RICHTER ;-1.9;FOREIGN
STADA ;1.3;FOREIGN
BAYER HEALTHCARE ;0.1;FOREIGN
SOPHARMA ;-8.7;FOREIGN
KUSUM HEALTHCARE I ;-5.8;FOREIGN
SERVIER GROUP ;6.00;FOREIGN
NYCOMED ;22.00;FOREIGN
UNIQUE ;17.8;FOREIGN
NABROS ;-8.1;FOREIGN
MILI HEALTHCARE GR ;2.4;FOREIGN
OMEGA PHARMA ;-9.00;FOREIGN
RECKITT BENCKISER ;25.1;FOREIGN


























































































































































































































































